Participant;Item;Item_Type;Correct_Response;Part_Response;RT_ms;Condition;Response
NX81;malken;non-word;non-word;non-word;164,12;i;correct
KF72;slogen;non-word;non-word;non-word;164,19;i;correct
FI42;lop;non-word;non-word;non-word;164,215;ie;correct
MU11;lamper;non-word;non-word;non-word;164,26;i;correct
MF88;wost;non-word;non-word;non-word;164,28;i;correct
MF96;vaden;non-word;non-word;non-word;164,285;i;correct
MU27;stolm;non-word;non-word;non-word;164,665;ie;correct
KF77;vertaag;non-word;non-word;non-word;164,7400002;i;correct
FF20;dast;non-word;non-word;non-word;164,795;ie;correct
CF70;bool;non-word;non-word;non-word;164,815;ie;correct
FX75;zoren;non-word;non-word;non-word;164,875;i;correct
QX03;vool;non-word;non-word;non-word;164,89;i;correct
DE53;plap;non-word;non-word;non-word;165,12;i;correct
NU88;vorn;non-word;non-word;word;165,18;ie;incorrect
FG25;plap;non-word;non-word;non-word;165,485;i;correct
GT29;armel;non-word;non-word;word;165,645;ie;incorrect
MF88;vorn;non-word;non-word;word;165,76;i;incorrect
LD19;gonnen;non-word;non-word;word;165,82;i;incorrect
SV59;bopel;non-word;non-word;non-word;165,935;ie;correct
MF88;rons;non-word;non-word;non-word;165,99;i;correct
UU48;okte;non-word;non-word;non-word;166,16;ie;correct
FI03;fraat;non-word;non-word;non-word;166,27;i;correct
LM62;ploog;non-word;non-word;non-word;166,3;i;correct
TR42;smaren;non-word;non-word;non-word;166,44;i;correct
LX84;warken;non-word;non-word;word;166,585;i;incorrect
GT29;klort;non-word;non-word;non-word;166,78;ie;correct
KE71;ploog;non-word;non-word;non-word;166,795;ie;correct
MF88;balten;non-word;non-word;non-word;166,945;i;correct
TX31;lochten;non-word;non-word;non-word;167,505;i;correct
IQ93;armel;non-word;non-word;non-word;167,565;ie;correct
IU89 ;zook;non-word;non-word;non-word;167,59;i;correct
DF25;mokker;non-word;non-word;non-word;167,6099999;i;correct
MH99;vool;non-word;non-word;non-word;167,6749999;i;correct
GR22;armel;non-word;non-word;non-word;167,875;i;correct
FF20;oolde;non-word;non-word;non-word;168,145;ie;correct
NN37;maags;non-word;non-word;non-word;168,19;ie;correct
MF86;aanbag;non-word;non-word;non-word;168,2550001;i;correct
MF86;lamper;non-word;non-word;non-word;168,36;i;correct
NN33;grons;non-word;non-word;non-word;168,4;ie;correct
LF24;vertaag;non-word;non-word;non-word;168,405;ie;correct
FX81;zals;non-word;non-word;non-word;168,435;ie;correct
LE65;pansen;non-word;non-word;non-word;168,725;ie;correct
GT29;fraal;non-word;non-word;non-word;168,88;ie;correct
CF70;naafs;non-word;non-word;non-word;169,08;ie;correct
BC71;vlaar;non-word;non-word;non-word;169,31;ie;correct
QX64;plap;non-word;non-word;non-word;169,43;ie;correct
MF96;nonzig;non-word;non-word;non-word;169,565;i;correct
FI03;voormaal;non-word;non-word;word;169,675;i;incorrect
GT29;plap;non-word;non-word;non-word;169,835;ie;correct
KF72;zoren;non-word;non-word;non-word;169,965;i;correct
BT89;lop;non-word;non-word;non-word;170,105;ie;correct
PU79;geband;non-word;non-word;non-word;170,65;i;correct
MF86;lard;non-word;non-word;non-word;170,8500001;i;correct
FI03;mogens;non-word;non-word;non-word;170,975;i;correct
ND78;voormaal;non-word;non-word;non-word;171;i;correct
JD97;bromen;non-word;non-word;non-word;171,0849999;i;correct
GT29;schaas;non-word;non-word;non-word;171,22;ie;correct
TX31;roog;non-word;non-word;non-word;171,325;i;correct
CF47;dast;non-word;non-word;non-word;171,405;i;correct
BT89;tort;non-word;non-word;word;171,455;ie;incorrect
BT89;gonnen;non-word;non-word;word;171,635;ie;incorrect
MF88;nonzig;non-word;non-word;non-word;171,69;i;correct
NF91;vlaar;non-word;non-word;non-word;171,695;ie;correct
CP39;bebot;non-word;non-word;non-word;172,065;i;correct
FX81;warken;non-word;non-word;non-word;172,305;ie;correct
PU79;broon;non-word;non-word;non-word;172,4850001;i;correct
DV10;klort;non-word;non-word;non-word;172,7250001;i;correct
GT29;ploog;non-word;non-word;non-word;172,74;ie;correct
BF11;maags;non-word;non-word;non-word;172,76;ie;correct
BD54;sanen;non-word;non-word;non-word;172,78;ie;correct
QX03;warken;non-word;non-word;non-word;172,89;i;correct
IU15;zals;non-word;non-word;non-word;172,975;ie;correct
IU89 ;voolt;non-word;non-word;non-word;173,005;i;correct
EE40;geband;non-word;non-word;non-word;173,045;ie;correct
FE43;pops;non-word;non-word;non-word;173,075;i;correct
IU15;slogen;non-word;non-word;non-word;173,33;ie;correct
NU88;kang;non-word;non-word;non-word;173,52;ie;correct
TY61;armel;non-word;non-word;non-word;173,79;i;correct
FF20;grons;non-word;non-word;non-word;173,905;ie;correct
CF47;vogen;non-word;non-word;non-word;174,105;i;correct
LD19;armel;non-word;non-word;non-word;174,2700001;i;correct
DE53;fraal;non-word;non-word;non-word;174,28;i;correct
FU25;warken;non-word;non-word;non-word;174,365;i;correct
MR77;famen;non-word;non-word;non-word;174,41;ie;correct
IU89 ;nonzig;non-word;non-word;non-word;174,4299999;i;correct
GF66;vaden;non-word;non-word;non-word;174,535;ie;correct
GT29;schoom;non-word;non-word;non-word;174,645;ie;correct
KF77;bromen;non-word;non-word;non-word;174,815;i;correct
DX78;gebocht;non-word;non-word;non-word;175,035;ie;correct
TX60;zoren;non-word;non-word;non-word;175,0599998;i;correct
CF70;slogen;non-word;non-word;word;175,305;ie;incorrect
MF88;gebocht;non-word;non-word;non-word;175,385;i;correct
NN37;voormaal;non-word;non-word;non-word;175,515;ie;correct
CF70;bloffen;non-word;non-word;non-word;175,745;ie;correct
FI03;dast;non-word;non-word;non-word;175,75;i;correct
FO47;voolt;non-word;non-word;non-word;175,89;i;correct
GF66;haden;non-word;non-word;word;175,945;ie;incorrect
TX60;baarzel;non-word;non-word;non-word;175,9600001;i;correct
IU89 ;zomel;non-word;non-word;non-word;176,1050001;i;correct
FX81;morter;non-word;non-word;non-word;176,12;ie;correct
XX28;vool;non-word;non-word;non-word;176,19;i;correct
CF70;vertaag;non-word;non-word;non-word;176,385;ie;correct
FF20;bool;non-word;non-word;non-word;176,49;ie;correct
CF47;wost;non-word;non-word;non-word;176,545;i;correct
MF96;vlaar;non-word;non-word;non-word;176,585;i;correct
GR22;pansen;non-word;non-word;non-word;176,69;i;correct
FF20;toonzen;non-word;non-word;non-word;176,8;ie;correct
FF20;voolt;non-word;non-word;non-word;177,19;ie;correct
SV59;nonzig;non-word;non-word;non-word;177,235;ie;correct
TX31;bebot;non-word;non-word;non-word;177,46;i;correct
MF96;ploog;non-word;non-word;non-word;177,475;i;correct
JU99;hank;non-word;non-word;non-word;177,5600002;i;correct
SN78;waars;non-word;non-word;non-word;178;i;correct
CP39;klamer;non-word;non-word;non-word;178,2;i;correct
JU99;zomel;non-word;non-word;non-word;178,5000004;i;correct
LO27;slogen;non-word;non-word;non-word;178,6199999;i;correct
FF20;mokker;non-word;non-word;non-word;178,67;ie;correct
IU89 ;aanbag;non-word;non-word;non-word;179,4050001;i;correct
SF29;braan;non-word;non-word;non-word;179,47;i;correct
LE65;galzen;non-word;non-word;non-word;179,535;ie;correct
NN37;braan;non-word;non-word;non-word;179,755;ie;correct
CF47;tort;non-word;non-word;non-word;179,915;i;correct
DE53;nonzig;non-word;non-word;non-word;180,02;i;correct
BU67;kraden;non-word;non-word;non-word;180,045;i;correct
KF77;lochten;non-word;non-word;non-word;180,28;i;correct
FG25;mokker;non-word;non-word;non-word;180,92;i;correct
FI03;trak;non-word;non-word;non-word;180,92;i;correct
BJ47;stolm;non-word;non-word;non-word;180,925;i;correct
SF29;zook;non-word;non-word;non-word;180,945;i;correct
SN78;tattig;non-word;non-word;non-word;181;i;correct
FD05;kang;non-word;non-word;non-word;181,005;ie;correct
TX31;haap;non-word;non-word;non-word;181,08;i;correct
BJ47;aanbag;non-word;non-word;non-word;181,18;i;correct
FI03;kraden;non-word;non-word;non-word;181,205;i;correct
DX78;zook;non-word;non-word;non-word;181,37;ie;correct
NN33;naafs;non-word;non-word;non-word;181,37;ie;correct
IU89 ;schoom;non-word;non-word;non-word;181,39;i;correct
FF20;naafs;non-word;non-word;non-word;181,61;ie;correct
MF86;broon;non-word;non-word;non-word;181,7749999;i;correct
XX28;lard;non-word;non-word;non-word;181,815;i;correct
IU89 ;afscheek;non-word;non-word;non-word;182,205;i;correct
NF91;broon;non-word;non-word;non-word;182,24;ie;correct
BC71;haap;non-word;non-word;word;182,32;ie;incorrect
CF70;vool;non-word;non-word;non-word;182,345;ie;correct
TX31;balten;non-word;non-word;non-word;182,445;i;correct
DX78;tort;non-word;non-word;non-word;182,495;ie;correct
FX81;aven;non-word;non-word;non-word;182,575;ie;correct
TF36;toonzen;non-word;non-word;non-word;182,665;i;correct
DX78;smaren;non-word;non-word;non-word;182,79;ie;correct
GT29;braan;non-word;non-word;non-word;182,835;ie;correct
FF20;sanen;non-word;non-word;non-word;182,865;ie;correct
BU54;lard;non-word;non-word;non-word;183;i;correct
LD19;dodel;non-word;non-word;non-word;183,0150001;i;correct
FF20;schoom;non-word;non-word;non-word;183,035;ie;correct
NN37;vogen;non-word;non-word;non-word;183,42;ie;correct
KF72;zals;non-word;non-word;non-word;183,815;i;correct
NN37;geband;non-word;non-word;non-word;183,815;ie;correct
MU27;smaren;non-word;non-word;non-word;183,835;ie;correct
SN78;zolden;non-word;non-word;non-word;184;i;correct
MR77;geroom;non-word;non-word;non-word;184,03;ie;correct
FD05;sanen;non-word;non-word;non-word;184,05;ie;correct
KF77;toonzen;non-word;non-word;non-word;184,1;i;correct
IU89 ;aven;non-word;non-word;non-word;184,5750001;i;correct
FI03;lard;non-word;non-word;non-word;184,7;i;correct
FX75;klamer;non-word;non-word;non-word;184,825;i;correct
NF64;zomel;non-word;non-word;non-word;184,875;i;correct
MF86;mogens;non-word;non-word;non-word;184,9450001;i;correct
TY61;tort;non-word;non-word;word;184,965;i;incorrect
MU27;fraat;non-word;non-word;non-word;185,115;ie;correct
DX78;stolm;non-word;non-word;non-word;185,185;ie;correct
LO27;fraal;non-word;non-word;non-word;185,1850001;i;correct
GT29;baaks;non-word;non-word;non-word;185,225;ie;correct
FF38;aanbol;non-word;non-word;non-word;185,365;ie;correct
TX60;nocht;non-word;non-word;non-word;185,4549996;i;correct
CF70;haap;non-word;non-word;non-word;185,545;ie;correct
FF20;drokken;non-word;non-word;non-word;185,55;ie;correct
MF86;votten;non-word;non-word;non-word;185,575;i;correct
BC71;galzen;non-word;non-word;non-word;185,815;ie;correct
KF72;haden;non-word;non-word;non-word;185,89;i;correct
FF20;zook;non-word;non-word;non-word;186,175;ie;correct
FG25;baaks;non-word;non-word;non-word;186,255;i;correct
FI03;schoom;non-word;non-word;non-word;186,56;i;correct
MF96;galzen;non-word;non-word;non-word;186,57;i;correct
CF70;vogen;non-word;non-word;non-word;186,585;ie;correct
CP39;vorn;non-word;non-word;word;186,7200001;i;incorrect
LF24;drokken;non-word;non-word;non-word;187,21;ie;correct
NF64;schaas;non-word;non-word;non-word;187,225;i;correct
KF77;krokkel;non-word;non-word;non-word;187,41;i;correct
FF20;gacht;non-word;non-word;word;187,44;ie;incorrect
CP39;zook;non-word;non-word;non-word;188,0600001;i;correct
MF96;krokkel;non-word;non-word;non-word;188,155;i;correct
FO97;vorn;non-word;non-word;word;188,25;ie;incorrect
FX81;baam;non-word;non-word;non-word;188,265;ie;correct
TX60;aanbol;non-word;non-word;non-word;188,3950001;i;correct
NN33;wopen;non-word;non-word;non-word;188,475;ie;correct
MR77;vool;non-word;non-word;non-word;188,49;ie;correct
FF20;kraden;non-word;non-word;non-word;188,6;ie;correct
SN78;braan;non-word;non-word;non-word;189;i;correct
CF47;aanbag;non-word;non-word;non-word;189,055;i;correct
FE43;ploog;non-word;non-word;non-word;189,165;i;correct
FI03;damen;non-word;non-word;non-word;189,165;i;correct
FI03;okte;non-word;non-word;non-word;189,3;i;correct
TY61;lamper;non-word;non-word;non-word;189,3;i;correct
QX03;afscheek;non-word;non-word;non-word;189,62;i;correct
DX78;klamer;non-word;non-word;non-word;189,675;ie;correct
FX75;mogens;non-word;non-word;non-word;189,735;i;correct
CP39;voolt;non-word;non-word;non-word;189,7499999;i;correct
DE18;lochten;non-word;non-word;non-word;189,985;ie;correct
BC71;maags;non-word;non-word;non-word;190,105;ie;correct
NN33;zomel;non-word;non-word;non-word;190,39;ie;correct
DF25;naafs;non-word;non-word;non-word;190,46;i;correct
FX81;plap;non-word;non-word;non-word;190,49;ie;correct
FX81;lochten;non-word;non-word;non-word;190,55;ie;correct
NF91;mogens;non-word;non-word;non-word;190,7950002;ie;correct
MF88;bloffen;non-word;non-word;non-word;190,97;i;correct
SN78;warken;non-word;non-word;non-word;191;i;correct
FF20;aanbag;non-word;non-word;non-word;191,05;ie;correct
DX78;vorn;non-word;non-word;word;191,195;ie;incorrect
QX03;hank;non-word;non-word;word;191,25;i;incorrect
FE43;kraden;non-word;non-word;non-word;191,65;i;correct
BT89;nonzig;non-word;non-word;non-word;191,685;ie;correct
MT15;zomel;non-word;non-word;non-word;191,945;i;correct
FI03;fraal;non-word;non-word;non-word;192;i;correct
MO41;aven;non-word;non-word;non-word;192,145;i;correct
BC71;sanen;non-word;non-word;non-word;192,175;ie;correct
DX27;wopen;non-word;non-word;non-word;192,29;i;correct
CF47;damen;non-word;non-word;non-word;192,3;i;correct
NX81;haden;non-word;non-word;non-word;192,35;i;correct
KF77;haden;non-word;non-word;non-word;192,6150001;i;correct
GT29;haden;non-word;non-word;non-word;192,95;ie;correct
MX89;aanbol;non-word;non-word;non-word;193,025;i;correct
FE43;zoren;non-word;non-word;non-word;193,23;i;correct
MF88;trak;non-word;non-word;non-word;193,315;i;correct
EE40;roog;non-word;non-word;non-word;193,48;ie;correct
FE43;spaag;non-word;non-word;non-word;193,54;i;correct
LE65;wost;non-word;non-word;non-word;193,62;ie;correct
MF88;braan;non-word;non-word;non-word;193,71;i;correct
SV59;baaks;non-word;non-word;non-word;193,78;ie;correct
GT29;gebocht;non-word;non-word;non-word;193,835;ie;correct
FX75;schaag;non-word;non-word;non-word;193,85;i;correct
SN78;stolm;non-word;non-word;non-word;194;i;correct
BC71;armel;non-word;non-word;non-word;194,365;ie;correct
MX89;naafs;non-word;non-word;non-word;194,37;i;correct
MD88;tattig;non-word;non-word;non-word;194,385;ie;correct
LE65;zomel;non-word;non-word;non-word;194,42;ie;correct
XX28;klamer;non-word;non-word;non-word;194,465;i;correct
NN37;fraal;non-word;non-word;non-word;194,635;ie;correct
MF86;baarzel;non-word;non-word;non-word;194,6599998;i;correct
GF66;ganger;non-word;non-word;non-word;194,71;ie;correct
DE18;bloffen;non-word;non-word;non-word;194,95;ie;correct
NN33;lochten;non-word;non-word;non-word;194,995;ie;correct
IU15;lop;non-word;non-word;non-word;195,01;ie;correct
SV59;maags;non-word;non-word;non-word;195,06;ie;correct
FI03;sotus;non-word;non-word;non-word;195,185;i;correct
EE40;raafde;non-word;non-word;non-word;195,29;ie;correct
GT29;nonzig;non-word;non-word;non-word;195,34;ie;correct
DE53;malken;non-word;non-word;non-word;195,39;i;correct
FE43;zook;non-word;non-word;non-word;195,405;i;correct
TY61;vertaag;non-word;non-word;non-word;195,41;i;correct
GT29;mokker;non-word;non-word;non-word;195,535;ie;correct
KF72;raafde;non-word;non-word;non-word;195,565;i;correct
NX81;oolde;non-word;non-word;non-word;195,62;i;correct
CF70;ootheid;non-word;non-word;word;195,685;ie;incorrect
MR77;braan;non-word;non-word;non-word;195,715;ie;correct
SV59;zomel;non-word;non-word;non-word;195,735;ie;correct
FE43;mogens;non-word;non-word;non-word;195,89;i;correct
NU88;gebacht;non-word;non-word;non-word;195,985;ie;correct
FX81;naafs;non-word;non-word;non-word;196,025;ie;correct
CF70;lard;non-word;non-word;non-word;196,125;ie;correct
MF96;stolm;non-word;non-word;non-word;196,14;i;correct
MF96;zolden;non-word;non-word;non-word;196,455;i;correct
QX64;zals;non-word;non-word;non-word;196,48;ie;correct
FF20;warken;non-word;non-word;non-word;196,5;ie;correct
DX78;balten;non-word;non-word;non-word;196,51;ie;correct
DX78;lochten;non-word;non-word;non-word;196,64;ie;correct
FI42;okte;non-word;non-word;non-word;196,69;ie;correct
FX81;maags;non-word;non-word;non-word;196,72;ie;correct
BJ47;maags;non-word;non-word;non-word;196,91;i;correct
CF47;klort;non-word;non-word;non-word;197,01;i;correct
CP39;slogen;non-word;non-word;word;197,015;i;incorrect
MF86;spaag;non-word;non-word;non-word;197,16;i;correct
MF96;tattig;non-word;non-word;non-word;197,165;i;correct
TY61;geroom;non-word;non-word;non-word;197,25;i;correct
KF77;rons;non-word;non-word;non-word;197,5099999;i;correct
DE53;lochten;non-word;non-word;non-word;197,62;i;correct
LE65;vool;non-word;non-word;word;197,685;ie;incorrect
NF91;voolt;non-word;non-word;non-word;197,6950001;ie;correct
MF96;rons;non-word;non-word;non-word;197,71;i;correct
BC71;aven;non-word;non-word;non-word;197,94;ie;correct
FF20;zals;non-word;non-word;non-word;198,01;ie;correct
LX84;vorn;non-word;non-word;word;198,2;i;incorrect
SV59;raps;non-word;non-word;non-word;198,27;ie;correct
MF96;dodel;non-word;non-word;non-word;198,32;i;correct
CF70;sponen;non-word;non-word;non-word;198,325;ie;correct
DE53;aanbol;non-word;non-word;non-word;198,365;i;correct
KF77;klamer;non-word;non-word;non-word;198,3749999;i;correct
NX81;zook;non-word;non-word;non-word;198,425;i;correct
FI03;klort;non-word;non-word;non-word;198,71;i;correct
CF47;bopel;non-word;non-word;non-word;198,78;i;correct
ND78;zook;non-word;non-word;non-word;199;i;correct
KE71;vaden;non-word;non-word;non-word;199,065;ie;correct
MF86;schaag;non-word;non-word;word;199,205;i;incorrect
NN37;tattig;non-word;non-word;non-word;199,34;ie;correct
PU79;tort;non-word;non-word;non-word;199,69;i;correct
IU89 ;morter;non-word;non-word;non-word;199,7100001;i;correct
NN37;damen;non-word;non-word;non-word;199,73;ie;correct
JU99;bool;non-word;non-word;non-word;199,97;i;correct
MN63;lamper;non-word;non-word;non-word;200;ie;correct
SN78;balten;non-word;non-word;non-word;200;i;correct
BJ47;armel;non-word;non-word;non-word;200,02;i;correct
LO27;vertaag;non-word;non-word;non-word;200,0850001;i;correct
FG25;sanen;non-word;non-word;non-word;200,16;i;correct
NX81;kang;non-word;non-word;non-word;200,265;i;correct
LI09;boors;non-word;non-word;non-word;200,27;ie;correct
MF88;geband;non-word;non-word;non-word;200,275;i;correct
FF20;bloffen;non-word;non-word;non-word;200,395;ie;correct
PU79;braan;non-word;non-word;non-word;200,42;i;correct
GF66;gebacht;non-word;non-word;non-word;200,5;ie;correct
TX60;damen;non-word;non-word;word;200,53;i;incorrect
CF47;naafs;non-word;non-word;non-word;200,875;i;correct
FI42;gebacht;non-word;non-word;non-word;200,875;ie;correct
NN33;rons;non-word;non-word;non-word;200,92;ie;correct
IU89 ;galzen;non-word;non-word;non-word;200,9749999;i;correct
XX28;lamper;non-word;non-word;non-word;201,02;i;correct
CF47;lochten;non-word;non-word;non-word;201,17;i;correct
MO41;famen;non-word;non-word;non-word;201,27;i;correct
CF47;schaag;non-word;non-word;non-word;201,315;i;correct
DV10;bebot;non-word;non-word;non-word;201,3599999;i;correct
TY61;ganger;non-word;non-word;non-word;201,495;i;correct
FI03;bromen;non-word;non-word;non-word;201,565;i;correct
IU89 ;vogen;non-word;non-word;non-word;201,805;i;correct
SV59;sotus;non-word;non-word;non-word;201,805;ie;correct
LD19;famen;non-word;non-word;non-word;201,835;i;correct
FE43;vorn;non-word;non-word;word;201,945;i;incorrect
CF70;baaks;non-word;non-word;non-word;202,045;ie;correct
MF88;pansen;non-word;non-word;non-word;202,06;i;correct
BJ47;schoom;non-word;non-word;non-word;202,095;i;correct
NX92;mokker;non-word;non-word;non-word;202,1049999;i;correct
MU27;gacht;non-word;non-word;word;202,115;ie;incorrect
TX31;okte;non-word;non-word;non-word;202,37;i;correct
CF70;aven;non-word;non-word;non-word;202,755;ie;correct
NN37;vaden;non-word;non-word;non-word;202,915;ie;correct
KE71;baam;non-word;non-word;non-word;202,995;ie;correct
FI03;raps;non-word;non-word;non-word;203,04;i;correct
DX27;voolt;non-word;non-word;non-word;203,185;i;correct
CF70;schoom;non-word;non-word;non-word;203,215;ie;correct
BJ47;bloffen;non-word;non-word;non-word;203,6;i;correct
MX80;vorn;non-word;non-word;non-word;203,65;i;correct
BC71;oolde;non-word;non-word;non-word;203,72;ie;correct
TY61;gebacht;non-word;non-word;non-word;203,935;i;correct
SN78;geband;non-word;non-word;non-word;204;i;correct
MH99;pansen;non-word;non-word;non-word;204,045;i;correct
SV59;balten;non-word;non-word;non-word;204,255;ie;correct
FF20;galzen;non-word;non-word;non-word;204,275;ie;correct
NN37;kang;non-word;non-word;non-word;204,495;ie;correct
TX60;lop;non-word;non-word;non-word;204,5649998;i;correct
GF66;geband;non-word;non-word;non-word;204,57;ie;correct
MH99;drokken;non-word;non-word;non-word;204,6299999;i;correct
FI03;afscheek;non-word;non-word;non-word;204,765;i;correct
FF20;stolm;non-word;non-word;non-word;204,785;ie;correct
LE65;broon;non-word;non-word;non-word;204,85;ie;correct
BC71;sotus;non-word;non-word;non-word;204,86;ie;correct
PU79;votten;non-word;non-word;non-word;204,955;i;correct
QX03;kraden;non-word;non-word;non-word;205,06;i;correct
MF88;schaas;non-word;non-word;non-word;205,33;i;correct
DX27;lop;non-word;non-word;non-word;205,46;i;correct
CF70;schaas;non-word;non-word;non-word;205,475;ie;correct
DX78;tattig;non-word;non-word;non-word;205,62;ie;correct
LF24;geband;non-word;non-word;non-word;205,71;ie;correct
NX92;vlaar;non-word;non-word;word;205,8350001;i;incorrect
DX78;maags;non-word;non-word;non-word;206,07;ie;correct
FF20;okte;non-word;non-word;non-word;206,09;ie;correct
BC71;bloffen;non-word;non-word;non-word;206,145;ie;correct
CF70;tort;non-word;non-word;non-word;206,18;ie;correct
LD19;pansen;non-word;non-word;non-word;206,37;i;correct
GT29;zoren;non-word;non-word;non-word;206,395;ie;correct
FF20;aanbol;non-word;non-word;non-word;206,455;ie;correct
LD19;broon;non-word;non-word;non-word;206,4650001;i;correct
MF96;aven;non-word;non-word;non-word;206,6;i;correct
FX81;geband;non-word;non-word;non-word;206,785;ie;correct
KF72;mang;non-word;non-word;word;206,83;i;incorrect
BF11;aven;non-word;non-word;non-word;206,8800001;ie;correct
ND78;naafs;non-word;non-word;non-word;207;i;correct
CP39;bopel;non-word;non-word;non-word;207,0999998;i;correct
DF25;spaag;non-word;non-word;non-word;207,25;i;correct
FX81;broon;non-word;non-word;non-word;207,34;ie;correct
GR22;aanbag;non-word;non-word;non-word;207,495;i;correct
TX31;ganger;non-word;non-word;non-word;207,525;i;correct
IU89 ;warken;non-word;non-word;non-word;207,5949998;i;correct
LD19;gebacht;non-word;non-word;non-word;207,655;i;correct
KF77;nonzig;non-word;non-word;non-word;207,675;i;correct
QX97;zomel;non-word;non-word;non-word;207,835;ie;correct
NN37;famen;non-word;non-word;non-word;207,845;ie;correct
KF77;kang;non-word;non-word;non-word;207,9;i;correct
FI03;braan;non-word;non-word;non-word;208,16;i;correct
FX81;dodel;non-word;non-word;non-word;208,175;ie;correct
FI42;wost;non-word;non-word;non-word;208,21;ie;correct
NN37;zolden;non-word;non-word;non-word;208,21;ie;correct
LO27;haden;non-word;non-word;non-word;208,41;i;correct
FX75;tort;non-word;non-word;non-word;208,555;i;correct
GT29;lard;non-word;non-word;non-word;208,64;ie;correct
EE40;schoom;non-word;non-word;word;208,925;ie;incorrect
FX75;pansen;non-word;non-word;non-word;208,945;i;correct
NN37;malken;non-word;non-word;non-word;209,02;ie;correct
DE53;klort;non-word;non-word;non-word;209,11;i;correct
NN33;gebocht;non-word;non-word;non-word;209,125;ie;correct
NN33;galzen;non-word;non-word;non-word;209,3;ie;correct
FX75;gonnen;non-word;non-word;non-word;209,44;i;correct
CP39;damen;non-word;non-word;word;209,6349997;i;incorrect
BC71;haden;non-word;non-word;word;209,84;ie;incorrect
BU54;voolt;non-word;non-word;non-word;210;i;correct
LE65;gebocht;non-word;non-word;non-word;210,055;ie;correct
DE53;pansen;non-word;non-word;non-word;210,17;i;correct
PU79;bopel;non-word;non-word;non-word;210,1949999;i;correct
KF77;gebocht;non-word;non-word;non-word;210,4800001;i;correct
FI03;krankt;non-word;non-word;non-word;210,61;i;correct
FG25;ploog;non-word;non-word;non-word;210,755;i;correct
GJ73;sanen;non-word;non-word;non-word;210,89;i;correct
BF11;bloffen;non-word;non-word;non-word;211,01;ie;correct
FX81;lanker;non-word;non-word;non-word;211,05;ie;correct
MX80;sanen;non-word;non-word;non-word;211,125;i;correct
DT70;drokken;non-word;non-word;non-word;211,13;ie;correct
BD00;lard;non-word;non-word;non-word;211,2199999;ie;correct
LF24;voormaal;non-word;non-word;word;211,255;ie;incorrect
SF29;galzen;non-word;non-word;non-word;211,265;i;correct
JU99;oolde;non-word;non-word;non-word;211,315;i;correct
TX60;gonnen;non-word;non-word;word;211,35;i;incorrect
NN33;slogen;non-word;non-word;non-word;211,37;ie;correct
SF29;tattig;non-word;non-word;non-word;211,4;i;correct
FF38;spaag;non-word;non-word;non-word;211,465;ie;correct
BU67;ploog;non-word;non-word;word;211,48;i;incorrect
FF20;klort;non-word;non-word;non-word;211,51;ie;correct
CF47;baarzel;non-word;non-word;non-word;211,535;i;correct
BD54;aanbol;non-word;non-word;non-word;211,6799999;ie;correct
FX75;hank;non-word;non-word;word;212,105;i;incorrect
KE71;dodel;non-word;non-word;non-word;212,11;ie;correct
TX60;gebocht;non-word;non-word;non-word;212,1700002;i;correct
CF70;lochten;non-word;non-word;non-word;212,255;ie;correct
DV10;pops;non-word;non-word;word;212,375;i;incorrect
MF96;grons;non-word;non-word;non-word;212,4;i;correct
KF72;wopen;non-word;non-word;non-word;212,475;i;correct
BC71;ootheid;non-word;non-word;non-word;212,545;ie;correct
DV10;broon;non-word;non-word;non-word;212,5799999;i;correct
FD05;nocht;non-word;non-word;non-word;212,645;ie;correct
NF64;lamper;non-word;non-word;non-word;212,67;i;correct
FE43;klort;non-word;non-word;non-word;212,695;i;correct
NF64;voolt;non-word;non-word;non-word;212,755;i;correct
EE40;zook;non-word;non-word;word;212,805;ie;incorrect
DX78;rons;non-word;non-word;non-word;213,08;ie;correct
IU89 ;smaren;non-word;non-word;non-word;213,1000001;i;correct
MD88;spaag;non-word;non-word;non-word;213,13;ie;correct
CF70;voormaal;non-word;non-word;non-word;213,195;ie;correct
FI42;stolm;non-word;non-word;non-word;213,215;ie;correct
BC71;schoom;non-word;non-word;word;213,48;ie;incorrect
FF20;baaks;non-word;non-word;non-word;213,49;ie;correct
DF25;ganger;non-word;non-word;non-word;213,56;i;correct
SV59;vorn;non-word;non-word;word;213,595;ie;incorrect
NN37;grons;non-word;non-word;non-word;213,685;ie;correct
BC71;roog;non-word;non-word;non-word;213,745;ie;correct
CF70;bromen;non-word;non-word;non-word;213,945;ie;correct
FI03;lanker;non-word;non-word;non-word;213,97;i;correct
FG25;tort;non-word;non-word;non-word;214,13;i;correct
MF96;gebacht;non-word;non-word;non-word;214,35;i;correct
MF88;krokkel;non-word;non-word;non-word;214,56;i;correct
MX89;aanbag;non-word;non-word;non-word;214,58;i;correct
MU27;krokkel;non-word;non-word;non-word;214,585;ie;correct
TX60;mokker;non-word;non-word;non-word;214,65;i;correct
DE53;balten;non-word;non-word;non-word;214,82;i;correct
NU88;bopel;non-word;non-word;non-word;214,835;ie;correct
KF77;baam;non-word;non-word;non-word;214,955;i;correct
BC71;klort;non-word;non-word;non-word;215,41;ie;correct
FE43;sotus;non-word;non-word;non-word;215,445;i;correct
KE71;rons;non-word;non-word;non-word;215,465;ie;correct
MF88;damen;non-word;non-word;non-word;215,51;i;correct
