Participant;Item;Item_Type;Correct_Response;Part_Response;RT_ms;Condition;Response
LO27;verstand;filler;word;word;42,05999989;i;correct
MD88;plank;filler;word;word;42,1;ie;correct
MH99;last;filler;word;word;42,53000009;i;correct
SF29;ballon;filler;word;word;42,605;i;correct
NN33;dorp;filler;word;word;42,74;ie;correct
TY61;koorts;filler;word;word;43,01499999;i;correct
MU27;verstand;filler;word;word;43,045;ie;correct
FF20;afdruk;filler;word;word;43,45499998;ie;correct
SN78;legaal;filler;word;word;44;i;correct
MO41;water;filler;word;word;44,445;i;correct
NN33;verstand;filler;word;word;44,44500001;ie;correct
TY61;baron;filler;word;non-word;44,65500001;i;incorrect
LE65;zand;filler;word;word;45,21000001;ie;correct
QX03;paard;filler;word;word;45,27500001;i;correct
LO27;raadsel;filler;word;word;45,30999996;i;correct
MD88;dokter;filler;word;word;45,505;ie;correct
TX60;droog;filler;word;word;45,51499989;i;correct
FI03;staal;filler;word;word;45,55000001;i;correct
GT29;aap;filler;word;word;45,83999999;ie;correct
MF86;zand;filler;word;word;46,04000016;i;correct
XX28;zand;filler;word;word;46,305;i;correct
DE53;last;filler;word;word;46,495;i;correct
KF77;raadsel;filler;word;word;47,13499988;i;correct
LO27;dorp;filler;word;word;47,14500019;i;correct
MF88;mentaal;filler;word;word;47,33499998;i;correct
SV59;droog;filler;word;word;47,385;ie;correct
FX81;last;filler;word;word;47,70999998;ie;correct
KE71;verstand;filler;word;word;48,5;ie;correct
GT29;roman;filler;word;word;48,565;ie;correct
IU89 ;mosterd;filler;word;word;48,57500014;i;correct
BC71;soldaat;filler;word;word;49,58500003;ie;correct
GT29;zon;filler;word;word;50,12499999;ie;correct
QX03;klok;filler;word;word;50,34;i;correct
IU15;ton;filler;word;word;50,5;ie;correct
GT29;staal;filler;word;word;50,55999999;ie;correct
CP39;donker;filler;word;word;50,7100001;i;correct
KF77;donker;filler;word;word;50,94500002;i;correct
GT29;last;filler;word;word;50,965;ie;correct
FF20;adel;filler;word;word;51,59500003;ie;correct
GT29;yoga;filler;word;word;51,96;ie;correct
MF86;koorts;filler;word;word;52,06999998;i;correct
NN37;ballon;filler;word;word;52,22;ie;correct
CP39;soldaat;filler;word;word;52,23000003;i;correct
FU25;pakket;filler;word;word;52,6;i;correct
DX27;last;filler;word;word;52,825;i;correct
FG25;afdruk;filler;word;word;52,93000001;i;correct
IU15;troon;filler;word;word;53,045;ie;correct
MF86;mosterd;filler;word;word;53,59999998;i;correct
LO27;marge;filler;word;word;53,68500017;i;correct
FX81;droog;filler;word;word;53,97500002;ie;correct
IU15;yoga;filler;word;word;55,9;ie;correct
EE40;mosterd;filler;word;word;56,64;ie;correct
DV10;staart;filler;word;word;56,75500003;i;correct
MU27;lag;filler;word;word;56,78500001;ie;correct
DE53;foto;filler;word;word;57,305;i;correct
TF36;pakket;filler;word;word;57,46;i;correct
NF91;los;filler;word;word;58,20500012;ie;correct
GT29;klok;filler;word;word;58,26999999;ie;correct
MF88;doof;filler;word;word;58,59500001;i;correct
LF24;aap;filler;word;word;58,705;ie;correct
BD00;paard;filler;word;word;58,9050001;ie;correct
FX81;foto;filler;word;word;59,71;ie;correct
DV10;pakket;filler;word;word;60,04999997;i;correct
MO41;afdruk;filler;word;word;60,275;i;correct
DX27;yoga;filler;word;word;60,585;i;correct
NN37;offer;filler;word;word;60,585;ie;correct
LD19;zon;filler;word;word;61,10499997;i;correct
GT29;onrust;filler;word;word;61,12000001;ie;correct
TX60;staart;filler;word;word;61,23499991;i;correct
LF24;mentaal;filler;word;word;61,43;ie;correct
MF96;afdruk;filler;word;word;61,54000002;i;correct
MH99;staal;filler;word;word;61,69999996;i;correct
LO27;klok;filler;word;word;61,72999996;i;correct
SV59;frank;filler;word;word;62,135;ie;correct
NN37;raadsel;filler;word;word;62,545;ie;correct
CF47;paard;filler;word;word;62,70000001;i;correct
IU89 ;tafel;filler;word;word;62,76999996;i;correct
BC71;donker;filler;word;word;62,95999995;ie;correct
MD88;kapsel;filler;word;word;63,005;ie;correct
GT29;baas;filler;word;word;63,06;ie;correct
MO41;foto;filler;word;word;63,275;i;correct
TX31;soldaat;filler;word;word;63,43000001;i;correct
KF72;klok;filler;word;word;63,775;i;correct
